,feature,selection_count,pair_count,cpss_score
302,TPM__TFF3,10,5,1.0
219,TPM__VWA8,10,5,1.0
347,MUT__EGFR,10,5,1.0
114,TPM__SLC7A5,9,4,0.9
153,TPM__VAV3,9,4,0.9
482,TPM__NLGN1,8,4,0.8
116,TPM__DYNLT3,8,3,0.8
146,TPM__KLF9,8,3,0.8
440,METH__SLC1A5,8,3,0.8
11,TPM__STK32A,8,3,0.8
408,TPM__FAM167B,8,3,0.8
419,TPM__HSD17B8,8,3,0.8
178,TPM__VGF,7,2,0.7
337,TPM__ADGRF4,7,2,0.7
229,TPM__CNRIP1,7,2,0.7
18,TPM__FAM50A,7,2,0.7
432,METH__LHFPL2,7,2,0.7
14,METH__MIR205,7,3,0.7
105,METH__CHST14,7,2,0.7
373,TPM__MIR4458HG,7,2,0.7
77,TPM__DGKA,7,2,0.7
218,TPM__NID1,6,1,0.6
98,TPM__APBB1,6,1,0.6
167,TPM__UGT1A6,6,1,0.6
0,METH__CNN3,6,1,0.6
414,TPM__PLXND1,6,1,0.6
441,TPM__H2BP1,6,1,0.6
449,TPM__ARMCX2,6,2,0.6
93,TPM__CNIH3,5,1,0.5
172,TPM__SRGAP2B,5,0,0.5
445,TPM__ITGA10,5,1,0.5
72,METH__MLPH,5,0,0.5
264,TPM__PCDHB3,5,0,0.5
53,TPM__MAP1LC3A,5,0,0.5
253,TPM__NPR2,5,1,0.5
313,TPM__FARP1,5,0,0.5
416,TPM__ELMO2,5,0,0.5
57,TPM__DEF6,5,0,0.5
236,TPM__RPS6KA1,5,0,0.5
190,TPM__DIXDC1,5,1,0.5
224,METH__PLEKHO2,5,0,0.5
306,METH__PGAM5,5,0,0.5
88,METH__ALOX12,5,1,0.5
35,TPM__SOX15,5,0,0.5
121,TPM__MACF1,5,0,0.5
375,TPM__DGKI,5,0,0.5
484,TPM__ETV2,5,0,0.5
34,TPM__TNFAIP8,5,0,0.5
448,TPM__ANKRD33BP1,5,1,0.5
63,TPM__IGFBP5,5,0,0.5
319,TPM__FGD1,5,0,0.5
40,TPM__PRKD1,5,0,0.5
165,TPM__TMEM102,4,0,0.4
439,METH__TCHHL1,4,0,0.4
407,METH__G0S2,4,0,0.4
149,TPM__LMCD1,4,0,0.4
113,TPM__HOXB5,4,0,0.4
453,METH__IL17RC,4,1,0.4
104,TPM__HOXB2,4,1,0.4
101,METH__ADAT3,4,0,0.4
100,METH__SCAMP4,4,0,0.4
210,TPM__EPB41L3,4,0,0.4
140,TPM__LYN,4,0,0.4
447,TPM__DCLK1,4,0,0.4
386,TPM__FGFR1,4,0,0.4
226,TPM__SPIN3,4,0,0.4
318,TPM__SNHG26,4,0,0.4
391,METH__FGD4,4,0,0.4
369,TPM__CUL4B,4,0,0.4
365,TPM__ARB2A,4,0,0.4
360,METH__OSM,4,0,0.4
350,TPM__CREG1,4,0,0.4
393,TPM__OSBPL6,4,0,0.4
397,METH__TRIM29,4,0,0.4
332,METH__KRT5,4,0,0.4
328,METH__GPR81,4,0,0.4
299,TPM__CACNA1A,4,0,0.4
404,TPM__LINC02018,4,1,0.4
296,METH__FAM127C,4,0,0.4
278,TPM__TNFRSF19,4,0,0.4
275,TPM__FKBP7,4,0,0.4
271,TPM__TXNDC15,4,0,0.4
268,TPM__BOD1,4,0,0.4
258,TPM__LSAMP,4,0,0.4
255,TPM__INPP5F,4,0,0.4
377,TPM__LY6D,4,0,0.4
235,TPM__RHOV,4,0,0.4
1,TPM__TNS2,4,0,0.4
488,TPM__HOXB3,4,0,0.4
84,TPM__FAM83B,4,0,0.4
79,METH__C16orf74,4,0,0.4
28,METH__MACC1,4,1,0.4
22,TPM__ETV1,4,0,0.4
82,TPM__RNF14,4,0,0.4
221,METH__LMO3,3,0,0.3
429,TPM__DUOX1,3,0,0.3
66,TPM__MCOLN1,3,0,0.3
73,TPM__SPATA6,3,0,0.3
433,METH__SCG5,3,1,0.3
368,TPM__FYB1,3,0,0.3
438,TPM__LAMA4,3,0,0.3
330,TPM__IL4R,3,0,0.3
425,METH__PTK6,3,0,0.3
147,TPM__KRT16,3,0,0.3
331,TPM__GAS2L3,3,0,0.3
363,TPM__MAGED2,3,0,0.3
442,TPM__FGD5-AS1,3,0,0.3
443,TPM__MTFR1L,3,0,0.3
64,TPM__ARMCX1,3,0,0.3
136,TPM__PCBP4,3,0,0.3
55,TPM__CIART,3,0,0.3
29,TPM__CD99L2,3,0,0.3
422,METH__TNFRSF11B,3,0,0.3
161,TPM__EFHC1,3,0,0.3
26,TPM__GNA15,3,0,0.3
326,TPM__KIF3A,3,0,0.3
384,METH__TMEM40,3,0,0.3
183,TPM__CASP10,3,0,0.3
378,TPM__TRAK2,3,0,0.3
398,TPM__NAV3,3,0,0.3
177,METH__CBLN1,3,0,0.3
321,TPM__PLOD3,3,0,0.3
410,METH__TUBB2A,3,1,0.3
423,METH__VSTM2A,3,0,0.3
320,TPM__SORBS1,3,0,0.3
198,METH__PAQR7,3,0,0.3
376,METH__FUT9,3,0,0.3
200,TPM__TRIM3,3,0,0.3
204,METH__TPD52L2,3,0,0.3
327,TPM__ROBO1,3,0,0.3
44,TPM__ANXA8L1,3,0,0.3
452,TPM__MRAS,3,0,0.3
187,METH__RICS,3,0,0.3
132,TPM__PCDHB9,3,0,0.3
285,TPM__DIRAS1,3,0,0.3
231,METH__NKX6-2,3,0,0.3
468,TPM__TTC22,3,0,0.3
233,TPM__PROX1,3,0,0.3
111,TPM__GEM,3,0,0.3
282,TPM__ACAP1,3,0,0.3
234,METH__SH3BP1,3,0,0.3
297,TPM__PSMB10,3,0,0.3
286,TPM__GPRASP2,3,0,0.3
251,METH__LOC100127888,3,0,0.3
478,TPM__OLR1,3,0,0.3
239,TPM__CLIP3,3,0,0.3
241,TPM__TMEM108,3,0,0.3
295,TPM__TBX3,3,0,0.3
87,METH__COL17A1,3,0,0.3
56,TPM__PTMS,3,0,0.3
487,TPM__DIP2C,3,1,0.3
465,TPM__PIP5K1C,3,0,0.3
281,TPM__UNC13A,3,1,0.3
120,METH__DGKA,3,0,0.3
124,TPM__VKORC1,3,0,0.3
301,TPM__MOCS1,3,0,0.3
460,METH__MIR1265,3,0,0.3
461,TPM__ASPHD1,3,0,0.3
252,TPM__ZNF112,3,0,0.3
279,TPM__CFAP91,3,0,0.3
222,TPM__STK36,2,0,0.2
193,TPM__FAM219A,2,0,0.2
379,TPM__ARNT2-DT,2,0,0.2
242,TPM__NBPF9,2,0,0.2
344,TPM__GNS,2,0,0.2
61,TPM__NR2F1,2,0,0.2
188,TPM__DTNA,2,0,0.2
361,TPM__RHEB,2,0,0.2
343,TPM__PCDHGA1,2,0,0.2
323,TPM__MAGED1,2,0,0.2
356,TPM__DLGAP4,2,1,0.2
197,TPM__NALF1,2,0,0.2
254,TPM__SYS1-DBNDD2,2,1,0.2
336,METH__PCDHAC1,2,1,0.2
213,TPM__SLC20A1-DT,2,0,0.2
346,TPM__PRUNE2,2,0,0.2
201,TPM__ZC2HC1A,2,0,0.2
27,TPM__RGS17,2,0,0.2
249,TPM__TBC1D9,2,0,0.2
333,TPM__PPP2R5B,2,0,0.2
355,TPM__PCDHB12,2,0,0.2
62,TPM__ANXA8,2,0,0.2
371,METH__TENC1,2,0,0.2
207,TPM__HPCAL1,2,0,0.2
60,TPM__SHC2,2,0,0.2
209,TPM__ASTN2,2,0,0.2
335,TPM__CFL2,2,0,0.2
418,TPM__RAB23,2,0,0.2
245,TPM__NME5,2,1,0.2
390,TPM__ADA,2,0,0.2
310,TPM__RGMB-AS1,2,0,0.2
145,TPM__CEP170,2,0,0.2
143,TPM__GNA11,2,0,0.2
444,TPM__DNAJB5,2,1,0.2
309,TPM__G6PC3,2,1,0.2
7,TPM__GJB5,2,0,0.2
276,TPM__DACT1,2,0,0.2
130,TPM__TRIM29,2,0,0.2
455,TPM__PEG10,2,0,0.2
122,TPM__SGCB,2,0,0.2
464,TPM__DNER,2,0,0.2
466,TPM__HNRNPA1P33,2,0,0.2
467,METH__ANKRD44,2,0,0.2
112,TPM__KRT14,2,0,0.2
108,METH__FAM155A,2,0,0.2
106,TPM__VAV1,2,0,0.2
103,METH__NRSN2,2,0,0.2
102,TPM__SCG5,2,1,0.2
46,TPM__GPC6,2,0,0.2
3,TPM__CNN3-DT,2,0,0.2
288,METH__TRIB1,2,0,0.2
486,TPM__FRMD3,2,0,0.2
49,METH__GNA15,2,0,0.2
144,METH__ANKRD2,2,1,0.2
150,TPM__DOCK4,2,0,0.2
406,METH__CCDC13,2,0,0.2
413,TPM__TMSB15A,2,0,0.2
169,TPM__TP53INP2,2,1,0.2
17,TPM__CNN3,2,0,0.2
394,TPM__SPRED3,2,0,0.2
166,METH__BMF,2,0,0.2
263,METH__ABAT,2,0,0.2
312,METH__SPRR4,2,0,0.2
420,TPM__CEP112,2,0,0.2
159,TPM__RNF157,2,0,0.2
392,TPM__PRAF2,2,0,0.2
158,TPM__AP1S2,2,0,0.2
428,TPM__TCTA,2,0,0.2
430,TPM__GPAT4,2,1,0.2
24,TPM__CADM1,2,0,0.2
434,TPM__C5orf24,2,0,0.2
21,TPM__HCN2,2,0,0.2
294,METH__ERF,1,0,0.1
338,TPM__PAM,1,0,0.1
322,TPM__MIR100HG,1,0,0.1
339,METH__HIST2H2BA,1,0,0.1
41,TPM__BACE1,1,0,0.1
298,METH__UNC13D,1,0,0.1
329,METH__ZNF701,1,0,0.1
45,METH__LOC642587,1,0,0.1
300,TPM__CAMK2N2,1,0,0.1
305,TPM__ZNF674-AS1,1,0,0.1
308,TPM__GLB1L,1,0,0.1
311,TPM__CYP27A1,1,0,0.1
325,TPM__GMPR,1,0,0.1
89,TPM__FMN2,1,0,0.1
25,TPM__DNALI1,1,0,0.1
342,METH__EFHA2,1,0,0.1
12,TPM__MIR205HG,1,0,0.1
8,TPM__SEMA4A,1,0,0.1
6,TPM__LPAR5,1,0,0.1
451,METH__SPRR1B,1,0,0.1
4,TPM__STX2,1,0,0.1
454,METH__PRKAR1B,1,0,0.1
456,METH__SRBD1,1,0,0.1
458,TPM__ODAD4,1,0,0.1
459,METH__SYTL1,1,0,0.1
462,TPM__INPP5D,1,0,0.1
470,TPM__PKP1,1,0,0.1
471,TPM__GPR137C,1,0,0.1
472,METH__CYP27A1,1,0,0.1
474,TPM__ALOX12P2,1,0,0.1
476,TPM__DPY19L2,1,0,0.1
477,TPM__TMEM181,1,0,0.1
481,METH__TMCC1,1,0,0.1
483,TPM__PDZD4,1,0,0.1
2,TPM__PHC2,1,0,0.1
485,TPM__PTS,1,0,0.1
9,TPM__TP63,1,0,0.1
427,TPM__BRSK2,1,0,0.1
345,TPM__RGS4,1,0,0.1
15,TPM__PCDHB16,1,0,0.1
33,TPM__DAPP1,1,0,0.1
348,TPM__ZNF503-AS2,1,0,0.1
32,TPM__SDC3,1,0,0.1
357,TPM__KIF5C,1,0,0.1
31,TPM__HDX,1,0,0.1
362,TPM__KCNMA1,1,0,0.1
364,TPM__C1QL1,1,0,0.1
30,METH__SHISA4,1,0,0.1
366,METH__MYH14,1,0,0.1
367,TPM__SLC37A3,1,0,0.1
372,TPM__NOB1,1,0,0.1
385,TPM__GPRIN1,1,0,0.1
292,METH__NLRP14,1,0,0.1
387,TPM__FAM200C,1,0,0.1
23,TPM__PCDHB10,1,0,0.1
396,METH__C12orf54,1,0,0.1
400,TPM__TSPAN4,1,0,0.1
411,TPM__MAPRE3,1,0,0.1
412,METH__DNASE1L3,1,0,0.1
293,TPM__MAST2,1,0,0.1
289,TPM__CRAT,1,0,0.1
244,TPM__VAMP8,1,0,0.1
117,TPM__C1orf216,1,0,0.1
189,TPM__RGS3,1,0,0.1
151,TPM__TTLL7,1,0,0.1
257,TPM__CDH2,1,0,0.1
191,METH__MESDC1,1,0,0.1
192,TPM__S100A9,1,0,0.1
54,TPM__STXBP1,1,0,0.1
126,TPM__NCAM1,1,0,0.1
248,TPM__ATP6V0E2-AS1,1,0,0.1
163,TPM__LINC02541,1,0,0.1
131,TPM__TCEAL3,1,0,0.1
133,METH__GPR158,1,0,0.1
134,METH__LOC100128811,1,0,0.1
240,TPM__SCARB2,1,0,0.1
238,TPM__BBS5,1,0,0.1
237,TPM__AKT3,1,0,0.1
135,TPM__LOXL3,1,0,0.1
232,TPM__SGCE,1,0,0.1
174,TPM__ARHGDIB,1,0,0.1
137,TPM__NRSN2,1,0,0.1
157,TPM__PSD4,1,0,0.1
199,TPM__AQP3,1,0,0.1
76,TPM__APLP1,1,0,0.1
155,TPM__MAGI2,1,0,0.1
225,TPM__SMPD1,1,0,0.1
203,TPM__LIFR,1,0,0.1
223,TPM__TMEM263-DT,1,0,0.1
65,TPM__KHDRBS3,1,0,0.1
119,TPM__KRT17,1,0,0.1
164,METH__C21orf88,1,0,0.1
211,TPM__PDZD11,1,0,0.1
92,TPM__RGMB,1,0,0.1
97,TPM__FGFBP1,1,0,0.1
274,METH__RIC3,1,0,0.1
94,TPM__UNC13D,1,0,0.1
80,TPM__CACNA2D1,1,0,0.1
273,TPM__CHST1,1,0,0.1
280,TPM__PMP22,1,0,0.1
68,TPM__TUBB2B,1,0,0.1
269,TPM__MAP6,1,0,0.1
179,TPM__MAP3K12,1,0,0.1
283,TPM__ACSS3,1,0,0.1
170,TPM__ANK2,1,0,0.1
91,TPM__RN7SKP16,1,0,0.1
182,METH__ARNT2,1,0,0.1
109,TPM__TRPM8,1,0,0.1
90,METH__KIAA0427,1,0,0.1
266,METH__ZNF214,1,0,0.1
265,TPM__DSC3,1,0,0.1
186,TPM__CD63,1,0,0.1
277,METH__SMCP,1,0,0.1
19,TPM__CHN1,0,0,0.0
154,TPM__PHLDB1,0,0,0.0
431,TPM__LEISA1,0,0,0.0
13,TPM__KRT6A,0,0,0.0
156,TPM__TBC1D16,0,0,0.0
152,METH__GIPC1,0,0,0.0
70,TPM__BMERB1,0,0,0.0
426,METH__DGUOK,0,0,0.0
409,TPM__ZNF568,0,0,0.0
160,TPM__STX1A,0,0,0.0
173,TPM__RTL5,0,0,0.0
171,TPM__AMPH,0,0,0.0
424,TPM__FAM222A,0,0,0.0
162,TPM__ODAD3,0,0,0.0
168,METH__CADPS,0,0,0.0
421,TPM__SRPX,0,0,0.0
415,METH__ZNF525,0,0,0.0
16,TPM__MAP1B,0,0,0.0
417,TPM__CORO2B,0,0,0.0
71,TPM__WSB2,0,0,0.0
69,METH__ARHGDIB,0,0,0.0
5,TPM__DPYSL3,0,0,0.0
435,TPM__FOXG1,0,0,0.0
475,TPM__PLCG2,0,0,0.0
118,TPM__AGPAT1,0,0,0.0
115,TPM__SNX21,0,0,0.0
469,METH__GPR110,0,0,0.0
81,TPM__JAM3,0,0,0.0
110,TPM__GPR87,0,0,0.0
473,TPM__CDC42BPA,0,0,0.0
107,TPM__RTL8C,0,0,0.0
83,TPM__MMP16,0,0,0.0
436,METH__EVPLL,0,0,0.0
85,TPM__PTK2B,0,0,0.0
99,TPM__KRT13,0,0,0.0
479,TPM__SLC35B2,0,0,0.0
480,TPM__GPR3,0,0,0.0
86,METH__KIAA1671,0,0,0.0
96,TPM__HABP4,0,0,0.0
95,TPM__DCLK2,0,0,0.0
463,TPM__PSD3,0,0,0.0
78,TPM__PDZRN3,0,0,0.0
123,TPM__SH3BP1,0,0,0.0
125,TPM__TMEM179,0,0,0.0
437,TPM__ARHGAP30,0,0,0.0
74,TPM__KRT5,0,0,0.0
148,METH__CCM2,0,0,0.0
10,TPM__CCDC40,0,0,0.0
75,TPM__TEAD1,0,0,0.0
142,TPM__ELF1,0,0,0.0
141,TPM__MICU3,0,0,0.0
139,TPM__CUEDC1,0,0,0.0
446,TPM__DCTN4,0,0,0.0
138,TPM__CDON,0,0,0.0
450,TPM__ENPP1,0,0,0.0
129,TPM__PTPN6,0,0,0.0
128,TPM__RAB3B,0,0,0.0
457,METH__TIGD3,0,0,0.0
127,TPM__BAALC,0,0,0.0
20,TPM__PTAFR,0,0,0.0
291,TPM__DENND2A,0,0,0.0
405,TPM__HOXB-AS1,0,0,0.0
262,TPM__NAV1,0,0,0.0
261,TPM__RCAN1,0,0,0.0
260,TPM__NES,0,0,0.0
259,TPM__BRSK1,0,0,0.0
38,TPM__ARNT2,0,0,0.0
52,TPM__SNAP25,0,0,0.0
256,TPM__ANKS1B,0,0,0.0
37,TPM__CSTA,0,0,0.0
334,TPM__SH2D3A,0,0,0.0
250,TPM__SLC45A1,0,0,0.0
36,TPM__TUBB2A,0,0,0.0
247,TPM__DOCK8,0,0,0.0
246,TPM__GPR173,0,0,0.0
340,TPM__TRAF3IP3,0,0,0.0
341,TPM__SLC35G2,0,0,0.0
243,TPM__SMIM29,0,0,0.0
58,TPM__LONRF2,0,0,0.0
59,TPM__TRPC1,0,0,0.0
324,TPM__CENPBD2P,0,0,0.0
51,METH__MGAT1,0,0,0.0
230,METH__ZNF790,0,0,0.0
39,TPM__EFR3B,0,0,0.0
287,TPM__SARM1,0,0,0.0
284,TPM__FAM110B,0,0,0.0
47,TPM__RTL8B,0,0,0.0
48,TPM__SCG2,0,0,0.0
303,METH__RGS7BP,0,0,0.0
304,TPM__CAPRIN2,0,0,0.0
43,TPM__MAPK8IP1,0,0,0.0
307,METH__TMC8,0,0,0.0
272,TPM__SHISA4,0,0,0.0
270,METH__NLRP1,0,0,0.0
50,TPM__GDI1,0,0,0.0
42,METH__MAP1LC3B2,0,0,0.0
314,TPM__MSANTD3-TMEFF1,0,0,0.0
315,TPM__CALU,0,0,0.0
316,TPM__ZNF225-AS1,0,0,0.0
317,TPM__SEZ6L2,0,0,0.0
267,TPM__DENND1C,0,0,0.0
349,TPM__S100A8,0,0,0.0
351,TPM__ADAMTSL1,0,0,0.0
175,TPM__RGS7,0,0,0.0
195,TPM__RAPH1,0,0,0.0
380,METH__KRT15,0,0,0.0
381,TPM__KIF3C,0,0,0.0
382,TPM__CEP15,0,0,0.0
383,METH__PTPN6,0,0,0.0
67,METH__DAPP1,0,0,0.0
388,TPM__COL6A1,0,0,0.0
389,TPM__TUBB3,0,0,0.0
290,TPM__DBNDD1,0,0,0.0
184,TPM__PCLO,0,0,0.0
181,TPM__SEPTIN4,0,0,0.0
395,TPM__SH3BP4,0,0,0.0
180,TPM__ZNF214,0,0,0.0
399,TPM__SYP,0,0,0.0
176,TPM__ARMC9,0,0,0.0
401,TPM__ELOVL2,0,0,0.0
402,TPM__P3H3,0,0,0.0
403,METH__KIF21A,0,0,0.0
194,TPM__NT5DC3,0,0,0.0
196,TPM__IL1RN,0,0,0.0
352,TPM__SERTAD4-AS1,0,0,0.0
202,TPM__COPS8,0,0,0.0
353,TPM__LOH12CR2,0,0,0.0
354,TPM__SCML1,0,0,0.0
228,TPM__TLCD5,0,0,0.0
227,TPM__MARCHF4,0,0,0.0
358,METH__TMEM45A,0,0,0.0
359,METH__TMC6,0,0,0.0
220,METH__PHC1,0,0,0.0
217,TPM__SYTL1,0,0,0.0
216,TPM__TMEM198,0,0,0.0
215,TPM__GJB3,0,0,0.0
214,TPM__ZCCHC24,0,0,0.0
212,TPM__DNAJC22,0,0,0.0
208,METH__SNORD93,0,0,0.0
370,TPM__SVIP,0,0,0.0
206,TPM__PFN2,0,0,0.0
205,TPM__TMEM158,0,0,0.0
374,TPM__BEX1,0,0,0.0
185,TPM__TUBA1A,0,0,0.0
